Word	Part of Speech	Origin	Definition
glissade	noun	French	a gliding or sliding step in ballet
glockenspiel	noun	German	a percussion instrument consisting of a set of graduated metal bars mounted on a frame and played with small hammers
glogg	noun	Swedish	Scandinavian punch made of claret and aquavit with spices and raisins and orange peel and sugar
glossolalia	noun	New Latin	repetitive nonmeaningful speech
gloxinia	noun	New Latin	any of several plants of the genera Gloxinia or Sinningia having showy bell-shaped flowers
glucose	noun	French	a monosaccharide sugar that has several forms
gneiss	noun	German	a laminated metamorphic rock similar to granite
gnocchi	noun	Italian	a small dumpling made of potato or flour or semolina that is boiled or baked and is usually served with a sauce or with grated cheese
gnomon	noun	Latin	indicator provided by the stationary arm whose shadow indicates the time on the sundial
gnosis	noun	Greek	intuitive knowledge of spiritual truths
gnostic	adjective	Late Latin	possessing intellectual or esoteric knowledge of spiritual things
golem	noun	Yiddish	an artificially created human being that is given life by supernatural means
gongorism	noun	Spanish	an affected elegance of style that was introduced into Spanish literature by the poet Gongora
goniometer	noun	Greek	direction finder that determines the angular direction of incoming radio signals
gorgeous	adjective	Middle English	dazzlingly beautiful
gorget	noun	Middle English	armor plate that protects the neck
Gorgonzola	noun	Italian	Italian blue cheese
gorilla	noun	New Latin	largest anthropoid ape
gorse	noun	Middle English	very spiny and dense evergreen shrub with fragrant golden-yellow flowers
gosling	noun	Middle English	young goose
gossamer	adjective	Middle English	characterized by unusual lightness and delicacy
Gotterdammerung	noun	German	myth about the ultimate destruction of the gods in a battle with evil
gouache	noun	French	a watercolor executed with opaque watercolors mixed with gum
gouda	noun	Netherlands	mild cream-colored Dutch cheese shaped in balls
Gouda	noun	Netherlands	mild cream-colored Dutch cheese shaped in balls
gouge	noun	Middle English	the act of gouging
gourmet	noun	French	a person devoted to refined sensuous enjoyment
gout	noun	Middle English	a painful inflammation of the big toe and foot caused by defects in uric acid metabolism resulting in deposits of the acid and its salts in the blood and joints
gracile	adjective	Latin	slender and graceful
grandeur	noun	French	the quality of being magnificent or splendid or grand
grandiose	adjective	French	impressive because of unnecessary largeness or grandeur
graticule	noun	French	"a network of fine lines, dots, cross hairs, or wires in the focal plane of the eyepiece of an optical instrument"
gratis	adjective	Middle English	costing nothing
gratuitous	adjective	Latin	without cause
gratuitously	adverb	Latin	in an uncalled-for manner
gravid	adjective	Latin	in an advanced stage of pregnancy
gregarious	adjective	Latin	instinctively or temperamentally seeking and enjoying the company of others
grenadier	noun	French	deep-sea fish with a large head and body and long tapering tail
grenadine	noun	French	thin syrup made from pomegranate juice
grimace	noun	French	a contorted facial expression
griot	noun	French	a storyteller in West Africa
grisaille	noun	French	"chiaroscuro painting or stained glass etc., in shades of grey imitating the effect of relief"
grison	noun	French	carnivore of Central America and South America resembling a weasel with a greyish-white back and dark underparts
grissino	noun	Italian	a long slender crusty breadstick
grosgrain	noun	French	a silk or silklike fabric with crosswise ribs
grotesque	adjective	Middle French and Old Italian	distorted and unnatural in shape or size
grotesqueness	noun	Middle French and Old Italian	ludicrous or incongruous unnaturalness or distortion
gruel	noun	Middle English	a thin porridge
Guarnerius	noun	New Latin	a violin made by a member of the Guarneri family
gudgeon	noun	Middle English	small slender European freshwater fish often used as bait by anglers
guerdon	noun	Middle English	a reward or payment
gueridon	noun	French	a small round table
guileful	adjective	Middle English	marked by skill in deception
guilloche	noun	French	an architectural decoration formed by two intersecting wavy bands
guillotine	noun	French	instrument of execution that consists of a weighted blade between two vertical poles
gulag	noun	Russian	a Russian prison camp for political prisoners
gumption	noun	origin unknown	fortitude and determination
guttural	adjective	Middle French	relating to or articulated in the throat
guzzle	verb	origin unknown	drink greedily or as if with great thirst
gypsophila	noun	New Latin	Mediterranean herbs having small white or pink flowers
gypsum	noun	Latin	a common white or colorless mineral used to make cements and plasters
gyroscope	noun	French	rotating mechanism in the form of a universally mounted spinning wheel that offers resistance to turns in any direction
habitat	noun	Latin	the type of environment in which an organism or group normally lives or occurs
habitus	noun	New Latin	person's predisposition to be affected by something
haggard	adjective	Middle French	very thin especially from disease or hunger or cold
haggis	noun	Middle English	made of sheep's or calf's viscera minced with oatmeal and suet and onions and boiled in the animal's stomach
halal	adjective	Arabic	conforming to dietary laws
halcyon	adjective	Middle English	idyllically calm and peaceful
halibut	noun	Middle English	marine food fish of the northern Atlantic or northern Pacific
halitosis	noun	New Latin	offensive breath
hallux	noun	New Latin	the first largest innermost toe
halogen	noun	Swedish	any of five related nonmetallic elements that are all monovalent and readily form negative ions
halogeton	noun	New Latin	a coarse annual herb introduced into North America from Siberia
halophyte	noun	International Scientific Vocabulary	plant growing naturally in very salty soil
hamadryad	noun	Latin	large cobra of southeastern Asia and the East Indies
hamartia	noun	Greek	the character flaw or error of a tragic hero that leads to his downfall
hamate	noun	Latin	the wrist bone in line with the 4th and 5th fingers
hammock	noun	Spanish	a hanging bed of canvas or rope netting
hammock	noun	Spanish	a hanging bed of canvas or rope netting
haptic	adjective	International Scientific Vocabulary	of or relating to or proceeding from the sense of touch
harangue	noun	Middle French	a loud bombastic declamation expressed with strong emotion
harassment	noun	French	the act of tormenting by continued persistent attacks and criticism
haricot	noun	French	a French variety of green bean plant bearing light-colored beans
hastate	adjective	New Latin	of a leaf shape
hauberk	noun	Middle English	a long tunic of chain mail formerly worn as defensive armor
hauteur	noun	French	overbearing pride evidenced by a superior manner toward inferiors
havoc	noun	Middle English	violent and needless disturbance
hawser	noun	Middle English	large heavy rope for nautical use
heathen	adjective	Middle English	not acknowledging the God of Christianity and Judaism and Islam
heaume	noun	Middle French	a large medieval helmet supported on the shoulders
hebdomad	noun	Latin	any period of seven consecutive days
hebetude	noun	Late Latin	mental lethargy or dullness
hecatomb	noun	Latin	a great sacrifice
hedonism	noun	Greek	an ethical system that evaluates the pursuit of pleasure as the highest good
hegemony	noun	Greek	the dominance or leadership of one social group or nation over others
heifer	noun	Middle English	young cow
heinousness	noun	Middle English	the quality of being shockingly cruel and inhumane
heliacal	adjective	Late Latin	pertaining to or near the sun
helichrysum	noun	New Latin	large genus of mostly African and Australian herbs and shrubs: everlasting flowers
hellebore	noun	Middle English	any plant of the Eurasian genus Helleborus
